Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
1000MERCIS,FR0010285965,ALMIL,Euronext Growth Paris,EUR,23,23.1,23,23.1,28/05/2019 15:12,CET,23,529.6
2CRSI,FR0013341781,2CRSI,Euronext Paris,EUR,9.22,9.34,9.16,9.2,28/05/2019 17:35,CET,2857,26409.5
4SERVICE CLOUD,CH0299791381,MLOVE,Euronext Access Paris,EUR,0.055,0.055,0.055,0.055,04/04/2019 11:30,CET,1,0.06
A TOUTE VITESSE,FR0010050773,MLATV,Euronext Access Paris,EUR,1.69,1.69,1.69,1.69,23/05/2019 11:30,CET,2,3.38
A.S.T. GROUPE,FR0000076887,ASP,Euronext Paris,EUR,4.18,4.18,4.15,4.16,28/05/2019 17:17,CET,2995,12464.55
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR,30.48,30.61,30.25,30.31,28/05/2019 17:35,CET,269403,8180965.59
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR,74.3,74.42,73.46,73.96,28/05/2019 17:37,CET,1531464,113295068.93
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,4.245,4.245,3.955,3.975,28/05/2019 17:36,CET,98460,402835.26
ABBEY PLC,IE0000020408,DOY,Euronext Growth Dublin,EUR,13.9,13.9,13.9,13.9,28/05/2019 07:00,UTC,36,500.4
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,6.39,6.4,6.33,6.4,28/05/2019 17:35,CET,34949,222913.02
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,28.3,28.7,28.3,28.6,28/05/2019 17:19,CET,1406,40246.5
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,9.11,9.13,9.03,9.03,28/05/2019 16:50,CET,4243,38393.8
ABN AMRO Group,NL0011540547,ABN,Euronext Amsterdam,EUR,19.36,19.37,19,19.03,28/05/2019 17:35,CET,2461360,46994674.05
ABO GROUP,BE0974278104,ABO,Euronext Brussels,EUR,2.34,2.34,2.34,2.34,22/05/2019 11:30,CET,4,9.36
ACACIA PHARMA,GB00BYWF9Y76,ACPH,Euronext Brussels,EUR,1.63,1.64,1.61,1.64,28/05/2019 17:29,CET,26493,43122.78
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.528,0.528,0.512,0.52,28/05/2019 17:35,CET,7910,4157.99
ACCELL GROUP,NL0009767532,ACCEL,Euronext Amsterdam,EUR,24.1,24.25,24,24.25,28/05/2019 17:35,CET,47985,1162184.55
ACCENTIS,BE0003696102,ACCB,Euronext Brussels,EUR,0.0405,0.0415,0.0405,0.0415,28/05/2019 17:29,CET,271236,11185.06
ACCOR,FR0000120404,AC,Euronext Paris,EUR,34.16,34.4,33.97,34.15,28/05/2019 17:36,CET,1217375,41580513.2
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam,EUR,1.31,1.315,1.31,1.315,28/05/2019 14:55,CET,2077,2724.37
ACHETER-LOUER.FR,FR0010493510,ALALO,Euronext Growth Paris,EUR,0.0234,0.024,0.0226,0.0239,28/05/2019 17:05,CET,2405788,56577.05
ACKERMANS V.HAAREN,BE0003764785,ACKB,Euronext Brussels,EUR,138.6,142.1,138.6,140.8,28/05/2019 17:35,CET,58221,8195191.4
ACTEOS,FR0000076861,EOS,Euronext Paris,EUR,1.165,1.165,1.15,1.15,28/05/2019 16:06,CET,701,807.97
ACTIA GROUP,FR0000076655,ATI,Euronext Paris,EUR,3.905,3.94,3.875,3.92,28/05/2019 17:35,CET,7282,28498.99
ACTIPLAY (GROUPE),FR0011038348,ALACT,Euronext Growth Paris,EUR,0.176,0.176,0.122,0.126,28/05/2019 16:55,CET,6203,1029.72
ACTIVIUM GROUP,FR0010979377,MLACT,Euronext Access Paris,EUR,0.73,0.73,0.73,0.73,22/05/2019 11:30,CET,72,52.56
ADA,FR0000053076,ALADA,Euronext Growth Paris,EUR,10,10,10,10,28/05/2019 09:00,CET,1,10
ADC SIIC,BE0974269012,ALDV,Euronext Paris,EUR,0.088,0.088,0.088,0.088,23/05/2019 11:30,CET,4,0.35
ADELPHI GERE,PTADH0AE0004,MLAGE,Euronext Access Lisbon,EUR,-,-,-,-,-,-,-,-
ADEUNIS,FR0013284627,ALARF,Euronext Growth Paris,EUR,4.47,4.9,4.3,4.88,28/05/2019 17:14,CET,6960,31789.47
ADL PARTNER,FR0000062978,ALP,Euronext Paris,EUR,15.75,15.8,15.7,15.7,28/05/2019 17:15,CET,620,9774.35
ADOCIA,FR0011184241,ADOC,Euronext Paris,EUR,17.8,18.12,17.8,17.92,28/05/2019 17:35,CET,7302,130901.5
ADOMOS,FR0013247244,ALADO,Euronext Growth Paris,EUR,0.83,0.839,0.825,0.838,28/05/2019 15:58,CET,17161,14250.65
ADP,FR0010340141,ADP,Euronext Paris,EUR,155.2,156.3,154.7,154.7,28/05/2019 17:35,CET,124322,19265960.9
ADTHINK,FR0010457531,ALADM,Euronext Growth Paris,EUR,1.385,1.385,1.38,1.38,28/05/2019 17:04,CET,121,166.99
ADUX,FR0012821890,ADUX,Euronext Paris,EUR,2.16,2.16,2,2.02,28/05/2019 17:35,CET,752,1528.6
ADVENIS,FR0004152874,ADV,Euronext Paris,EUR,1.39,1.39,1.39,1.39,28/05/2019 09:00,CET,1,1.39
ADVICENNE,FR0013296746,ADVIC,Euronext Paris,EUR,9.76,10.1,9.64,10,28/05/2019 16:36,CET,1907,18876.76
ADVINI,FR0000053043,ADVI,Euronext Paris,EUR,28.4,28.4,28.4,28.4,28/05/2019 09:00,CET,1,28.4
ADYEN,NL0012969182,ADYEN,Euronext Amsterdam,EUR,722.8,736.6,722,732.2,28/05/2019 17:35,CET,132377,96604767.4
AEDIFICA,BE0003851681,AED,Euronext Brussels,EUR,82.4,83,81.7,82.6,28/05/2019 17:35,CET,52555,4337418.8
AEGON,NL0000303709,AGN,Euronext Amsterdam,EUR,4.181,4.209,4.108,4.146,28/05/2019 17:35,CET,11386434,47246007.95
AFONE PARTICIP.,FR0000044612,AFO,Euronext Paris,EUR,14.9,14.9,14,14.9,28/05/2019 11:48,CET,1620,23446.7
AG3I,FR0011908045,MLAGI,Euronext Access Paris,EUR,3.46,3.46,3.46,3.46,25/04/2019 11:38,CET,74,256.04
